Date,Open,High,Low,Close,Adj Close,Volume
2019-02-14,805.799988,811.750000,800.400024,805.900024,719.968994,2464657
2019-02-15,804.799988,804.799988,777.250000,799.650024,714.385376,4312334
2019-02-18,815.000000,822.000000,800.500000,803.450012,717.780151,3851335
2019-02-19,807.000000,809.000000,788.849976,791.000000,706.657715,2372030
2019-02-20,794.049988,816.250000,785.250000,812.400024,725.776001,3340240
2019-02-21,814.000000,840.000000,809.099976,820.650024,733.146179,14193982
2019-02-22,824.900024,829.750000,818.099976,826.000000,737.925720,4789937
2019-02-25,830.200012,832.900024,822.500000,830.650024,742.079895,2881535
2019-02-26,825.000000,838.400024,820.599976,833.299988,744.447388,3319590
2019-02-27,836.400024,837.950012,820.599976,825.599976,737.568420,3703224
2019-02-28,833.000000,838.400024,825.000000,830.150024,741.633362,6409662
2019-03-01,831.000000,836.500000,829.099976,831.799988,743.107300,3820707
2019-03-05,822.500000,824.700012,808.049988,810.000000,723.631775,4927644
2019-03-06,812.000000,829.700012,812.000000,823.549988,735.737000,3999053
2019-03-07,823.549988,825.450012,806.250000,808.250000,722.068359,2306250
2019-03-08,810.200012,813.500000,802.599976,811.349976,724.837830,1437045
2019-03-11,812.000000,814.400024,803.000000,807.150024,721.085632,2699806
2019-03-12,811.000000,813.750000,801.150024,804.700012,718.896912,2793702
2019-03-13,808.900024,816.000000,788.000000,789.950012,705.719727,4815576
2019-03-14,792.099976,795.000000,775.000000,788.450012,704.379578,3112666
2019-03-15,794.000000,807.500000,787.000000,799.299988,714.072815,3854238
2019-03-18,804.950012,805.700012,782.250000,788.599976,704.513611,3379301
2019-03-19,793.500000,797.450012,783.250000,794.650024,709.918579,2413153
2019-03-20,797.000000,806.200012,787.299988,789.849976,705.630310,3331375
2019-03-22,794.500000,798.000000,783.200012,788.750000,704.647644,2815749
2019-03-25,792.000000,795.450012,786.400024,789.599976,705.406982,1861646
2019-03-26,790.200012,791.900024,768.150024,770.750000,688.566895,3169827
2019-03-27,771.000000,773.000000,761.599976,764.950012,683.385376,3893738
2019-03-28,770.000000,782.000000,768.049988,771.700012,689.415710,3908706
2019-04-01,782.849976,794.799988,779.000000,785.500000,701.744202,3433947
2019-04-02,790.950012,794.000000,785.049988,792.450012,707.953125,2596840
2019-04-03,792.450012,793.349976,776.250000,777.700012,694.775879,1467406
2019-04-04,777.900024,781.750000,767.250000,774.500000,691.916992,1751584
2019-04-05,779.000000,787.099976,774.500000,777.250000,694.373901,1367411
2019-04-08,779.700012,790.000000,773.400024,787.150024,703.218262,1368825
2019-04-09,790.349976,797.700012,787.299988,789.500000,705.317688,2128462
2019-04-10,786.049988,798.950012,786.000000,790.250000,705.987671,2497013
2019-04-11,790.400024,795.750000,778.599976,780.950012,697.679382,1854222
2019-04-12,779.000000,786.349976,774.549988,785.349976,701.610107,3162714
2019-04-15,785.349976,799.400024,785.000000,797.200012,712.196594,3317405
